figure_panel,frequency_band,monkey_id,area,time_ms,condition,mean_cp,sem_cp,source_file,notes
FigS1,high_gamma,Monkey_C,MT,300.0,post,0.4981130860268551,0.0005653870492885,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,320.0,pre,0.4999360723530029,0.0026886291995832,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,320.0,post,0.5010196111756566,0.0005830244585428,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,340.0,pre,0.4990718038942413,0.0032073977836596,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,340.0,post,0.5040031760576946,0.0015378291216767,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,360.0,pre,0.4952850223285819,0.0016900861677708,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,360.0,post,0.5037997114316887,0.0019283621985286,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,380.0,pre,0.4927371809368764,0.0010162256507319,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,380.0,post,0.5045670138163353,0.0002215290517924,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,400.0,pre,0.494320232513522,0.0023783916603887,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_C,MT,400.0,post,0.5085878949923571,0.0017119271523463,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,0.0,pre,0.506131753212287,0.0044767010247616,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,0.0,post,0.5085531560657693,0.0079400961602185,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,20.0,pre,0.5097405041174914,0.0057145922951071,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,20.0,post,0.5072441342313643,0.0084737839215075,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,40.0,pre,0.511245660362635,0.0050437094098333,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,40.0,post,0.50462110183983,0.0090557258502853,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,60.0,pre,0.51008333132481,0.006017090596678,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,60.0,post,0.5016197754294357,0.0097759139417603,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,80.0,pre,0.5130709317126535,0.0070148511757417,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,80.0,post,0.5002843692351009,0.0097813353993556,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,100.0,pre,0.5152814849782842,0.0060130237639903,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,100.0,post,0.502270060209825,0.0066467397371122,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,120.0,pre,0.5138669251108826,0.0057367583625886,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,120.0,post,0.5035983276627876,0.004510272617751,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,140.0,pre,0.5120545064029897,0.0054851429217181,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,140.0,post,0.5045048645379656,0.0062859134985357,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,160.0,pre,0.5124027434917232,0.005985424874747,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,160.0,post,0.504503847030502,0.0085724124539587,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,180.0,pre,0.5125954949950996,0.0070407448367767,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
