figure_panel,old_figure_panel,monkey_id,area,condition,previous_trial_outcome,frequency_band,epoch_start_ms,epoch_end_ms,frequency_min_hz,frequency_max_hz,matrix_row_zero_based,matrix_column_zero_based,matrix_row_one_based,matrix_column_one_based,cp
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,6,13,7,14,0.512366257124846
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,6,14,7,15,0.507436360730732
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,6,15,7,16,0.507194250849954
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,6,16,7,17,0.509804932666756
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,6,17,7,18,0.51299592229879
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,6,18,7,19,0.519211827530484
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,6,19,7,20,0.527385605144509
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,6,20,7,21,0.532717597259287
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,6,21,7,22,0.533986021062134
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,6,22,7,23,0.530226828721449
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,6,23,7,24,0.520082637767787
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,6,24,7,25,0.505468512655989
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,6,25,7,26,0.502487630131952
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,6,26,7,27,0.50789821612778
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,6,27,7,28,0.517787288428975
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,6,28,7,29,0.5285869503141
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,4,8,5,0.496067257642017
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,5,8,6,0.502593935925988
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,6,8,7,0.50914000820712
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,7,8,8,0.510741880042515
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,8,8,9,0.51127284161538
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,9,8,10,0.515985109968386
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,10,8,11,0.523519964003754
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,11,8,12,0.532355332230479
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,12,8,13,0.533322066784407
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,13,8,14,0.527818996868214
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,14,8,15,0.522228210281178
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,15,8,16,0.521153939270182
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,16,8,17,0.524340564727253
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,17,8,18,0.528957191682128
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,18,8,19,0.533782555291441
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,19,8,20,0.537590264048089
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,20,8,21,0.538501830109196
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,21,8,22,0.5350727202731
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,22,8,23,0.526714319178831
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,23,8,24,0.513385890485088
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,24,8,25,0.504647219248482
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,25,8,26,0.502226654036899
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,26,8,27,0.502908385912791
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,27,8,28,0.507613439484429
