figure_panel,frequency_band,area,time_ms,condition,mean_cp,sem_cp,source_monkeys,source_role
Fig3B,low_gamma,MT,160.0,post,0.5259060646845812,0.0145871362264975,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,160.0,pre,0.5227706704795242,0.0087019823885546,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,180.0,post,0.5253572974105702,0.0155019688095435,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,180.0,pre,0.5198513076952666,0.009679570589976,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,200.0,post,0.5204098075391563,0.0124781976515528,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,200.0,pre,0.5179533805154094,0.0094375789011518,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,220.0,post,0.5153279687608701,0.0076818347968567,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,220.0,pre,0.5141937531040202,0.0085437028827864,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,240.0,post,0.5187483944991362,0.0087780510074984,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,240.0,pre,0.5097544040288021,0.0071554584546485,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,260.0,post,0.5180649344887479,0.0075702144193247,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,260.0,pre,0.508035157671859,0.0070905081186605,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,280.0,post,0.513935304996017,0.0043969449167463,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,280.0,pre,0.5074369435210565,0.0078871145550237,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,300.0,post,0.5102640281776059,0.0043089164183388,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,300.0,pre,0.5046286949571616,0.0066592440436904,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,320.0,post,0.5029113985819522,0.0063859152175908,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,320.0,pre,0.5030329742270785,0.0061703871557353,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,340.0,post,0.4968645358907466,0.0071355613875401,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,340.0,pre,0.4970474792417642,0.0047790050781984,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,360.0,post,0.4887067547657192,0.008303530834007,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,360.0,pre,0.4863073137315986,0.0044977875114861,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,380.0,post,0.4853465505543598,0.0101849339928722,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,380.0,pre,0.4787976681942023,0.0072560720562221,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,400.0,post,0.4843836480317263,0.0117723467637876,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,MT,400.0,pre,0.4814884264295532,0.0082058113629326,Monkey_Y;Monkey_C,area_timecourse_panel
Fig3B,low_gamma,V4,-200.0,post,0.460223926014711,0.0154640292713309,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-200.0,pre,0.5024109813837012,0.0218674727399564,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-180.0,post,0.4646743980606201,0.0150936709449287,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-180.0,pre,0.4983140156189183,0.0192741066864566,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-160.0,post,0.4706274016763608,0.0093754101382278,Monkey_L;Monkey_A,area_timecourse_panel
